anchor_recording_uid,anchor_recording_id,tissue,fit_r_squared,fit_nrmse_q95_q05,fit_active_bound_count,target_boundary_hit_parameters,pre_duration_days,post_duration_days,pre_n_cycles,post_n_cycles,pre_residual_robust_sd,post_residual_robust_sd,pre_rhythmic_rms,post_rhythmic_rms,pre_rhythm_to_residual_ratio,post_rhythm_to_residual_ratio,pre_envelope_median,post_envelope_median,pre_envelope_p10,post_envelope_p10,pre_period_status,pre_period_reason,post_period_status,post_period_reason,pre_amplitude_envelope_status,pre_amplitude_envelope_reason,post_amplitude_envelope_status,post_amplitude_envelope_reason,phase_shift_status,phase_shift_reason
250625 to 250728::8A-L3_Raw.csv,8A-L3,DRG,0.5120622389607241,0.2113475625466468,1,fit_pre_period_hours,6.81736,6.277780000000001,5.454692499146693,6.35362868170648,0.3160310985284463,0.5214056305879788,0.28168245190754493,0.4845011984054712,0.8913124474748183,0.9292212626455697,0.11876340446926184,0.5367997666357313,0.018503472283883653,0.2663160242397725,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound
250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,DRG,0.9504001104110374,0.0929803389351342,1,fit_pre_envelope_log_rate_per_day,6.77778,6.26389,5.973354208671083,6.114779318876117,1.1672570998626244,1.2613972571573493,0.5386548964628093,1.4995383653461798,0.4614706533172547,1.1887915221295937,0.0279786858256067,1.4347211721290818,0.00063857602220308,0.5742969699684645,eligible,none,eligible,none,difficult,fit_pre_envelope_log_rate_per_day_at_bound,eligible,none,eligible,none
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,0.6208120417513638,0.1756428079911227,0,none,6.77778,6.27778,6.670615316126063,6.3517095715686445,0.3778339533513627,0.13535322995415242,0.3730215972143222,0.26487189408182077,0.9872633041727584,1.9568937820807055,0.3821306533913972,0.1473990788506971,0.16822320737177987,0.03023499085516916,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,DRG,0.9803606349106012,0.0590210470545198,0,none,6.76389,6.27778,6.141917881504686,5.890295713690315,0.3982106459924855,0.5014212381080352,0.4064652380360262,0.8013807657567716,1.0207292098456264,1.5982186330609869,0.3524621945954511,0.4938113754714861,0.1265576911395242,0.11624574614690299,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250728::6A-SCNrM1_Raw.csv,6A-SCNrM1,SCN,0.6532518073181679,0.1835126695580934,2,fit_post_envelope_log_rate_per_day;fit_post_period_hours,6.80555,6.27778,6.723714707933599,5.02222400511639,0.3570722490295107,0.18097582495322725,0.5301002642670997,0.23783334659342747,1.4845742443101169,1.3141719158064062,0.5152328176819329,0.0182017200319358,0.2012163701042362,0.0005411762144297601,eligible,none,difficult,fit_post_period_hours_at_bound,eligible,none,difficult,fit_post_envelope_log_rate_per_day_at_bound,difficult,fit_post_period_hours_at_bound
250728::6B-SCNrM2_Raw.csv,6B-SCNrM2,SCN,0.6937934573791118,0.1497559866116738,1,fit_post_envelope_log_rate_per_day,6.80556,6.26388,6.902174367881809,5.592389085509117,0.3704244729341419,0.1222313179068912,0.5376984576549813,0.2524013782513907,1.4515737942362656,2.064948513797876,0.3838416317815055,0.021602741555230648,0.1043436135695914,0.00064727587240688,eligible,none,eligible,none,eligible,none,difficult,fit_post_envelope_log_rate_per_day_at_bound,eligible,none
250728::7A-SCNcM1_Raw.csv,7A-SCNcM1,SCN,0.7334174043245543,0.1793355300881691,0,none,6.80556,6.27778,6.709299335927622,5.937285251238394,0.18525012821734801,0.23605667280320683,0.6374679817027689,0.28124383425936367,3.441120326539522,1.1914250544987897,0.6279542011037097,0.3767003417559494,0.2557230517571318,0.270581205385615,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,SCN,0.6574647422530056,0.1849757718275323,1,fit_post_envelope_log_rate_per_day,6.80556,6.26389,6.872310037318662,5.050723515258609,0.2072017035288449,0.2229161354483708,0.5187538439145356,0.2004465979344806,2.5036176589268195,0.8992018344984528,0.4234688200343703,0.01585868747373175,0.13247011196043065,0.00047516597888395,eligible,none,eligible,none,eligible,none,difficult,fit_post_envelope_log_rate_per_day_at_bound,eligible,none
250811::1A-1FSCN_Raw.csv,1A-1FSCN,SCN,0.8877850745728934,0.1030868826767572,0,none,6.70833,5.02778,6.633710511664109,4.79433117530545,0.31273632952521463,0.11844480189377579,0.5507357969826135,0.2847358650715629,1.761022768984727,2.4039540825685286,0.4744675791742196,0.2897644550516677,0.16007307275633276,0.12636422285287466,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250811::1B-2MSCN_Raw.csv,1B-2MSCN,SCN,0.9219051547764058,0.0938974748372279,0,none,6.72223,5.02778,6.667528004988074,4.691127547171373,0.2576599239828352,0.20847523984517805,0.48241464107584436,0.682025329513532,1.8722921035557778,3.2714931999600094,0.4888296191764346,0.7017719558786205,0.2042196479766756,0.31312659688095096,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250811::1C-3FSCN_Raw.csv,1C-3FSCN,SCN,0.7583857589593018,0.1460645797047341,0,none,6.72223,5.02777,6.692013604005969,4.789334712921272,0.32425448093493947,0.12313507217639569,0.5414402009682021,0.2630118900529847,1.6698002118800024,2.1359624468015914,0.7004162502328004,0.1691709116374219,0.4434835935139465,0.039763917730593276,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250811::1D-4FSCN_Raw.csv,1D-4FSCN,SCN,0.7053888711705572,0.1634284224292562,0,none,6.72222,5.02778,6.646093875172029,4.563910565869551,0.40549925924186203,0.34013311706679655,0.41090648867711055,0.3876120718223841,1.0133347455316148,1.1395893324502815,0.4860724816990149,0.1028503870030756,0.25599859107151346,0.00923370428028896,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250811::2C-2ML1_Raw.csv,2C-2ML1,DRG,0.9593249760147696,0.0738854161814802,1,none,6.70833,5.02778,5.405878941767149,4.703912032052802,0.32211893400142005,0.9088676247999776,0.05759929623282527,2.0134299512326237,0.17881375527143445,2.2153170564038263,0.0301774392661665,1.615942313122804,0.00606191878658418,0.4914987378234724,difficult,pre_rhythm_to_residual_below_0.35,eligible,none,difficult,pre_rhythm_to_residual_below_0.35,eligible,none,difficult,pre_rhythm_to_residual_below_0.35
