method,scenario_family,challenge_type,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,n_anchors_valid,bootstrap_replicates,bootstrap_seed,clean_point_estimate,clean_ci_lower_95,clean_ci_upper_95,challenge_point_estimate,challenge_ci_lower_95,challenge_ci_upper_95,deterioration_point_estimate,deterioration_ci_lower_95,deterioration_ci_upper_95
Hilbert,pre_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,1,0,2910439977,0.16242527519669264,,,0.16104330265586586,,,0.0004422688880448,,
Hilbert,pre_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,1,0,1533201831,0.01759647338167565,,,0.01667203141316922,,,-0.002176912946550526,,
Hilbert,pre_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,11,2000,2961594961,0.42888785300820653,0.23919657914431808,0.6720825022354491,0.41120665704360804,0.22439490304770332,0.6688276246449473,-0.0032767763924579085,-0.006290629818089144,-0.00038579795748841517
Hilbert,pre_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,11,2000,4113847584,0.19283840743891345,0.15117451751162508,0.29702716678909885,0.19765162569050815,0.1513206363019307,0.3047880723765741,0.0005150129395249947,-0.0012560052335166827,0.0008191697018821165
Hilbert,pre_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,11,2000,588509622,0.9758003896492407,0.8320432651633136,0.983350848547488,0.9747879317677755,0.8319619283899364,0.9834578056020185,0.00010249597454692339,5.236840659139652e-05,0.0016934339078753524
Hilbert,pre_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,11,2000,29269776,0.159753748317187,0.0511358101136985,0.26784142030792923,0.15375126020300173,0.05057274008290184,0.27043111707727713,0.0003821599538049725,-0.0008805454616064856,0.0018271710846042843
Hilbert,pre_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,11,2000,2000503744,0.0523704895870758,0.02494562711543845,0.5235845398994834,0.055311955276248326,0.028668346794797694,0.5152521721826985,0.0013943613964914926,-0.002053814434718901,0.003160324993679183
Hilbert,pre_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,41,2000,1996728675,0.1977180889340599,0.18149705809902617,0.21224904846011516,0.18977506645064848,0.17332862653872838,0.20380704303447322,-0.0028016534029475376,-0.00543572950983922,-0.000796261516728694
Hilbert,pre_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,41,2000,4027141436,0.13383596325662578,0.12489946105974785,0.1364609858525277,0.13008884603822451,0.12635460070102855,0.1361962239393985,0.000640413249749408,-0.00028382077035733755,0.0013475449248487592
Hilbert,pre_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,41,2000,1850470833,0.992153644274688,0.9912385716452936,0.9946024496360678,0.9921943719047284,0.9907953446332481,0.9945481545686763,0.00017082652666294829,3.9931946679061525e-05,0.0002639761220836201
Hilbert,pre_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,41,2000,1472531146,0.14789684074645093,0.12472278233842732,0.1742672144092969,0.14772590704245375,0.12777119240386248,0.16898091808370683,-0.00041128779263377435,-0.0017091863623981407,0.0005719565795337112
Hilbert,pre_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,41,2000,3877184168,0.04651614308798925,0.035274123698498555,0.053493751022764754,0.051343073664435836,0.04109736334309051,0.0658078808861648,0.0033919768700732293,0.0024122021102900796,0.004213052124388023
Hilbert,pre_amplitude_trajectory,missing_block_6h,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,1,0,232994489,0.260002183661168,,,0.26188678923085285,,,0.0014588330808340821,,
Hilbert,pre_amplitude_trajectory,missing_block_6h,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,1,0,3356375500,0.16403828967123607,,,0.16923012642241275,,,0.00409283372292131,,
Hilbert,pre_amplitude_trajectory,missing_block_6h,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,1,0,53607683,0.9817885954104146,,,0.9809917932662672,,,0.0007968021441475126,,
Hilbert,pre_amplitude_trajectory,missing_block_6h,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,1,0,2910439977,0.16242527519669264,,,0.17126424770553,,,0.001825880801955615,,
Hilbert,pre_amplitude_trajectory,missing_block_6h,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,1,0,1533201831,0.01759647338167565,,,0.01164555092868923,,,-0.008440060915699519,,
Hilbert,pre_amplitude_trajectory,transient_artifact,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,11,2000,2961594961,0.42888785300820653,0.23919657914431808,0.6720825022354491,0.42797353173414565,0.23227242143786803,0.6468845339145513,-0.00018929446100762748,-0.00921389301439407,0.006264216474281825
