method,metric,analysis_role,circular,animal_id,sex,level,spinal_position,spinal_region,value,n_recordings_collapsed,recording_ids
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,L2,14.0,lumbar,5.764956544434756,1,8B-L2m1
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,L3,15.0,lumbar,14.381030931604103,1,8C-L3m1
STFT,post_amplitude_counts,descriptive,False,20250703_m1,F,L4,16.0,lumbar,6.013408532160894,1,8D-L4-1m1
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,L1,13.0,lumbar,25.57716138133419,1,2C-2ML1
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,L2,14.0,lumbar,16.083955701184934,1,2D-1FL2
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,L4,16.0,lumbar,8.556289557584996,2,3A-1FL4 | 4D-1FL4
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,T10,10.0,thoracic,20.210032660939227,1,3D-1FT10
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,T10,10.0,thoracic,2.4797187445897424,1,4A-2MT10
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,T5,5.0,thoracic,6.950029943153484,1,4C-2MT5
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,L2,14.0,lumbar,5.343565934089102,1,5A-2ML2
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,T7,7.0,thoracic,4.978486737031182,1,5C-1FT7
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,L1,13.0,lumbar,14.811853951943604,1,6A-1FL1
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,L3,15.0,lumbar,18.828860994187345,1,6B-2ML3
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,T12,12.0,thoracic,26.61191305156248,1,7C-1FT12
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,T12,12.0,thoracic,12.661649773259672,1,7D-2MT12
STFT,post_amplitude_counts,descriptive,False,20250811_1F,F,T5,5.0,thoracic,3.3121238472788064,1,8A-1FT5
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,L4,16.0,lumbar,37.839003219597714,1,8C-2ML4
STFT,post_amplitude_counts,descriptive,False,20250811_2M,M,T7,7.0,thoracic,7.604865595195594,1,8D-2MT7
STFT,post_amplitude_counts,descriptive,False,20251003_M1,M,T7,7.0,thoracic,1.4958398596091431,1,2B- 1MT7
STFT,post_amplitude_counts,descriptive,False,20251003_M1,M,L1,13.0,lumbar,6.672165557262643,1,2C- M1L1
STFT,post_amplitude_counts,descriptive,False,20251003_M1,M,L4,16.0,lumbar,22.626799183026,1,2D- M1L4
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L1,13.0,lumbar,-0.3389535047845838,1,1B-L1m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L2,14.0,lumbar,-0.2701505039125526,1,1D-L2m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L3,15.0,lumbar,-0.1902180597278013,1,2C-L3m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L4,16.0,lumbar,-0.0592671129065947,1,2D-L4m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,L5,17.0,lumbar,-0.2090216723347754,1,3A-L5m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,T10,10.0,thoracic,-0.2331532159128062,1,3B-T10m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,T12,12.0,thoracic,0.0015329564586855637,2,4B-T12m2 | 5B-T12m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,T5,5.0,thoracic,-0.4406267970133325,1,4C-T5m1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,T7,7.0,thoracic,-0.3456978333802388,1,4D-T7m1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,T10,10.0,thoracic,-0.3591016856781634,1,5A-T10m1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T12,12.0,thoracic,-0.3894323974691649,1,5C-T12
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T10,10.0,thoracic,-0.4624266274129234,1,5D-T10
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T7,7.0,thoracic,-0.4441985266702318,1,6A-T7
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,T5,5.0,thoracic,-0.31660700041543,1,6B-T5
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,L1,13.0,lumbar,-0.3675990654350405,1,7C-L1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,L2,14.0,lumbar,-0.3683403613140903,1,7D-L2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,L3,15.0,lumbar,-0.3993371957057122,1,8A-L3
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,L2,14.0,lumbar,-0.0975658381776865,1,8B-L2m1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,L3,15.0,lumbar,-0.4443835404564523,1,8C-L3m1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,L4,16.0,lumbar,-0.3150407542025497,1,8D-L4-1m1
