method,metric,analysis_role,circular,level,spinal_position,n_animals,mean,standard_deviation,median,q25,q75,circular_mean_radians,resultant_length,formal_level
STFT,pre_amplitude_counts,descriptive,False,L2,14.0,5,1.9767753015672915,1.43228817794509,1.5898904336689397,0.8301076204673035,2.5475562118463237,,,True
STFT,pre_amplitude_counts,descriptive,False,L3,15.0,4,10.475662654125438,14.106499500225436,3.5588080477630393,3.210020638101271,10.824450063787207,,,True
STFT,pre_amplitude_counts,descriptive,False,L4,16.0,5,10.024011000457966,11.875554707133253,4.556642138476713,2.584618338760281,11.05958992297646,,,True
STFT,pre_amplitude_counts,descriptive,False,L5,17.0,1,1.895385578287096,,1.895385578287096,1.895385578287096,1.895385578287096,,,False
STFT,pre_envelope_log_rate_per_day,secondary,False,T5,5.0,4,-0.3222253240380287,0.08249847709615749,-0.2921887767646188,-0.3476119495649056,-0.2668021512377419,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,T7,7.0,5,-0.35488262763073986,0.13424000390518437,-0.3456978333802388,-0.4441985266702318,-0.2820162436702182,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,T10,10.0,5,-0.40295168034920764,0.10903124155214311,-0.4538191615544826,-0.4624266274129234,-0.3591016856781634,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,T12,12.0,4,-0.25402267758908675,0.17683519636156453,-0.31409563467293383,-0.36173444091788365,-0.20638387134413697,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,L1,13.0,5,-0.15902353787576792,0.21229502215073273,-0.2049633700463994,-0.3389535047845838,-0.0047147956411177,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,L2,14.0,5,-0.24818703056931818,0.13387842245702944,-0.2701505039125526,-0.3683403613140903,-0.1219562659865062,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,L3,15.0,4,-0.33979032594281006,0.11116002633534573,-0.3622798517934933,-0.4105987818933972,-0.2914713958429062,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,L4,16.0,5,-0.26666567959855786,0.1879528153082227,-0.3150407542025497,-0.3178093487017302,-0.11142142961192181,,,True
STFT,pre_envelope_log_rate_per_day,secondary,False,L5,17.0,1,-0.2090216723347754,,-0.2090216723347754,-0.2090216723347754,-0.2090216723347754,,,False
