recording_uid,recording_id,tissue,time_days_original,time_days_zero,forskolin_day_zero,drift_reference_day_zero,observed_normalised,fitted_signal,residual,baseline_component,rhythmic_component,amplitude_envelope,linear_drift_component,acute_transient_component,centering_component,transition_weight_post
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.03125,9.09722,6.78472,3.26389,-0.3469420806218898,-0.13174422425063761,-0.2151978563712522,-0.34404289445438396,0.1988746675017648,0.2522928174889179,0.023111759901212954,2.0537319080437555e-75,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.04514,9.11111,6.78472,3.26389,-0.37063101793233383,-0.1477721445104688,-0.22285887342186503,-0.34404289445438396,0.18279171480848172,0.25007954774126484,0.023166792334664833,2.612610327168952e-76,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.05903,9.125,6.78472,3.26389,-0.39140484673596154,-0.16494501568997713,-0.2264598310459844,-0.34404289445438396,0.1655638111955215,0.24788569417447912,0.02322182476811671,3.282789303063375e-77,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.07292,9.13889,6.78472,3.26389,-0.4238243867966193,-0.18310844876617488,-0.24071593803044444,-0.34404289445438396,0.1473453456858719,0.24571108645772774,0.02327685720156859,4.0742611414946135e-78,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.08681,9.15278,6.78472,3.26389,-0.44715997762138904,-0.20210302461004132,-0.24505695301134772,-0.34404289445438396,0.12829573740855357,0.24355555575442608,0.023331889635020468,4.994502052173654e-79,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.10069,9.16666,6.78472,3.26389,-0.4627808368422602,-0.22175126876394394,-0.24102956807831624,-0.34404289445438396,0.10859250044138152,0.24142046619104482,0.023386882448289875,6.056686151786365e-80,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.11458,9.18055,6.78472,3.26389,-0.49154912988427907,-0.24191611316700826,-0.2496330167172708,-0.34404289445438396,0.08837262360486538,0.2393025754813404,0.023441914881741754,7.243646169981998e-81,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.12847,9.19444,6.78472,3.26389,-0.4996024852036159,-0.2624171140747444,-0.2371853711288715,-0.34404289445438396,0.06781659026367734,0.23720326422817098,0.023496947315193632,8.556908113911546e-82,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.14236,9.20833,6.78472,3.26389,-0.5218780365713611,-0.2830880491717121,-0.23878998739964902,-0.34404289445438396,0.047090622733257696,0.23512236944097073,0.02355197974864551,9.984216517625853e-83,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.15625,9.22222,6.78472,3.26389,-0.5370130443744294,-0.30376427416594776,-0.23324877020848167,-0.34404289445438396,0.02635936530557021,0.23305972955902857,0.02360701218209739,1.150664181804417e-83,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.17014,9.23611,6.78472,3.26389,-0.5555048437914077,-0.3242839795546282,-0.23122086423677957,-0.34404289445438396,0.005784627483437914,0.23101518443894467,0.023662044615549268,1.3098473331568932e-84,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.18403,9.25,6.78472,3.26389,-0.5731721680751448,-0.3444894033230039,-0.22868276475214094,-0.34404289445438396,-0.014475828718389719,0.22898857534219674,0.023717077049001146,1.4727541249153164e-85,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.19792,9.26389,6.78472,3.26389,-0.591266452695739,-0.36422799088655883,-0.22703846180918014,-0.34404289445438396,-0.03426944871539648,0.2269797449228159,0.02377210948245303,1.6356007355730722e-86,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.21181,9.27778,6.78472,3.26389,-0.6150142810871291,-0.3833534941496799,-0.23166078693744918,-0.34404289445438396,-0.05344998441196948,0.22498853721516981,0.023827141915904907,1.7941627199363486e-87,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.22569,9.29166,6.78472,3.26389,-0.6287947940284443,-0.4017140766470509,-0.2270807173813934,-0.34404289445438396,-0.07186555972260986,0.22301621235400804,0.023882134729174314,1.947065865073072e-88,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.23958,9.30555,6.78472,3.26389,-0.6519831571508494,-0.4192056513341896,-0.23277750581665985,-0.34404289445438396,-0.08941216684320039,0.22105977522293133,0.023937167162626193,2.0837422549953432e-89,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.25347,9.31944,6.78472,3.26389,-0.6646152940137214,-0.4356932446366832,-0.22892204937703825,-0.34404289445438396,-0.10595479257914593,0.21912050117702872,0.02399219959607807,2.202646665796498e-90,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.26736,9.33333,6.78472,3.26389,-0.6811489649892523,-0.451065351304256,-0.23008361368499625,-0.34404289445438396,-0.12138193168017067,0.2171982396510264,0.02404723202952995,2.2997633855730366e-91,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.28125,9.34722,6.78472,3.26389,-0.6851241129530931,-0.46522111540315003,-0.21990299754994302,-0.34404289445438396,-0.1355927282125165,0.21529284140050253,0.024102264462981828,2.371695646536473e-92,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.29514,9.36111,6.78472,3.26389,-0.6720061246724183,-0.4780709310317424,-0.19393519364067585,-0.34404289445438396,-0.14849757627456078,0.21340415849030073,0.024157296896433707,2.41586264879773e-93,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.30903,9.375,6.78472,3.26389,-0.6807808957333411,-0.4895369447852327,-0.19124395094810842,-0.34404289445438396,-0.16001862246150295,0.21153204428304365,0.024212329329885585,2.4306532276427226e-94,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.32292,9.38889,6.78472,3.26389,-0.6912782309119283,-0.49955345776612253,-0.19172477314580577,-0.34404289445438396,-0.17009016787584466,0.20967635342774835,0.024267361763337464,2.4155234091323602e-95,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.33681,9.40278,6.78472,3.26389,-0.6998616059597772,-0.5080672257593086,-0.19179438020046857,-0.34404289445438396,-0.1786589683024826,0.2078369418485415,0.024322394196789342,2.3710296179871955e-96,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.35069,9.41666,6.78472,3.26389,-0.6855657960601864,-0.5150332012971902,-0.1705325947629962,-0.34404289445438396,-0.18567993665363353,0.20601497361607246,0.024377387010058753,2.3026701670752797e-97,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.36458,9.43055,6.78472,3.26389,-0.6847413209269454,-0.5204335902488391,-0.16430773067810633,-0.34404289445438396,-0.19113535803873433,0.20420768194123903,0.02443241944351063,2.205140609096667e-98,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.37847,9.44444,6.78472,3.26389,-0.6753923618268013,-0.5242477040176565,-0.15114465780914477,-0.34404289445438396,-0.1950045042410036,0.2024162449547353,0.02448745187696251,2.0858271770092335e-99,-0.00968775719923139,1.0
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,10.39236,9.45833,6.78472,3.26389,-0.6742734312888311,-0.5264730702929789,-0.14780036099585225,-0.34404289445438396,-0.19728490294977785,0.20064052356935927,0.02454248431041439,1.9487576729488618e-100,-0.00968775719923139,1.0
