recording_uid,recording_id,tissue,model_spec_version,fit_procedure_version,raw_pre_baseline,raw_pre_amplitude_proxy,recording_start_day_original,fit_start_day_original,duration_days,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,reference_window_start_day_original,reference_window_end_day_original,reference_window_n_points,profiled_initial_phase_radians,n_parameter_starts,selected_parameter_start,n_profiled_starts,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_phase_shift_hours,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,active_bound_count,boundary_hit_parameters,sse,rmse,mae,nrmse_q95_q05,r_squared
250625 to 250728::7D-L2_Raw.csv,7D-L2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,65.579,7.816800000000001,0.63889,0.88889,13.10903,7.727085,6.838195,4.18056,3.29167,0.88889,7.477085,475,-0.5055076932651854,18,period_29_27,22,1.057109371787248,2.124667290910561,29.978407187812373,25.066549723031738,-0.6665056032879789,-0.2459258693840887,2.798137484974794,2.398384527096977,9.568271834149169,0.1975992517337319,1.6607647881090781,0,none,412.8066263415179,0.661984588070127,0.5288111900475176,0.11762208074216889,0.9102259453481569
250625 to 250728::8A-L3_Raw.csv,8A-L3,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,82.859,9.648450000000004,0.64583,0.89583,13.10903,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.12179276889849522,17,period_29_24,19,1.213282812555754,1.335537003980123,29.995575373973033,23.713491541267313,-0.6843568699881127,-0.28225896372933695,0.6887806947594084,1.415482008065406,5.342198102405209,-0.0021977290357552623,0.31270794885407815,1,fit_pre_period_hours,201.53833947633697,0.4622990400313752,0.36049402970814565,0.2113475625466468,0.5120622389607241
250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,99.299,3.7994999999999943,0.69236,0.94236,13.05556,7.727085,6.784725,4.20625,3.26389,0.94236,7.477085,471,-1.2350233076561823,18,period_27_27,22,3.1540511954886616,4.694987507690209,27.232056616342717,24.585247015526136,-1.3999999998606387,-0.36951567313887934,9.372886351106107,-0.36922963701445877,-1.44474520289587,0.2947310203311897,-0.9988622709514549,1,fit_pre_envelope_log_rate_per_day,1581.488517042917,1.297777455008913,1.0144464820826338,0.09298033893513422,0.9504001104110374
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,163.194,67.922,0.68403,0.93403,13.06944,7.71875,6.78472,4.19792,3.26389,0.93403,7.46875,471,-0.130899693899575,17,period_24_29,19,1.0656661153268756,1.0939598581930903,24.385564493092094,23.72065635280467,-0.3038793387588751,-0.6343649308154414,-0.34404289445438396,0.6857692516777592,2.588957027541509,0.0039620182470755045,0.42774699410731826,0,none,84.36624872193548,0.29958526069817076,0.21631969947677257,0.17564280799112272,0.6208120417513638
250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,93.9085,10.105624999999996,0.69444,0.94444,13.05556,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-0.40884852280958395,18,empirical,22,1.2680805581671795,3.1613729877822605,26.43040221831011,25.578804074270522,-0.38091954394089317,-0.5824643690847842,7.5031991527167445,1.229405756376015,5.004902359666095,0.047011531371413964,3.8916936904401744,0,none,275.32935210503535,0.5417823307644954,0.40487582142689826,0.059021047054519896,0.9803606349106012
250728::6A-SCNrM1_Raw.csv,6A-SCNrM1,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,128.418,28.4212,0.65347,0.90417,13.09722,7.716665,6.812495,4.18194,3.27777,0.90347,7.466665,473,0.5364259809227545,17,period_27_27,19,1.6688840029653418,1.488739542694243,24.292107427948448,29.999999969437503,-0.3453925915206662,-1.39999999986,-0.6640681954467195,-0.09374268045370959,-0.4475883287307758,0.04091902221186855,-0.09100701808172268,2,fit_post_period_hours;fit_post_envelope_log_rate_per_day,103.69635701714876,0.331433003521452,0.2380221512213677,0.18351266955809348,0.6532518073181679
250728::6B-SCNrM2_Raw.csv,6B-SCNrM2,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,174.157,38.63119999999998,0.66111,0.91111,13.08333,7.723615,6.812505,4.18889,3.27778,0.91111,7.473615,473,0.2037873432044286,17,period_21_24,19,1.9554942227146825,1.7497217083368377,23.6640558894088,26.88173474723711,-0.4794619684153521,-1.39999999986,0.3578433157130035,-1.6905242666369538,-7.232673030918654,-0.02144178203680961,1.2255392956125168,1,fit_post_envelope_log_rate_per_day,91.34877956509368,0.31140524516221113,0.21688170998079292,0.14975598661167383,0.6937934573791118
250728::7A-SCNcM1_Raw.csv,7A-SCNcM1,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,75.791,5.2568000000000055,0.65625,0.90625,13.09722,7.71875,6.8125,4.18403,3.27778,0.90625,7.46875,473,0.1802524969868191,17,period_24_29,19,1.9303066262456499,0.5817171645710216,24.344336393722347,25.376365396723035,-0.3300145490899344,-0.13398899069014214,0.7621901081549453,-0.6702924712315301,-2.7071597989012806,0.004928289268794338,-1.125274001687561,0,none,146.5215968231064,0.3939715166819557,0.2236704957552907,0.17933553008816913,0.7334174043245543
250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,116.42,15.469499999999982,0.66319,0.91319,13.08334,7.725695,6.812505,4.19097,3.27778,0.91319,7.475695,473,0.4539868459393199,17,period_24_24,19,1.8100934614173598,1.2844889168639135,23.766890479773387,29.764717776736703,-0.42865182173613436,-1.3999999999999997,0.39480267024821375,-1.2675295759799983,-6.004543596637402,-0.039440851228335176,-0.5832342105699746,1,fit_post_envelope_log_rate_per_day,84.73752546968679,0.30008416366293383,0.1985782514824989,0.18497577182753233,0.6574647422530056
250811::1A-1FSCN_Raw.csv,1A-1FSCN,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,78.8925,5.554500000000004,0.71528,0.96528,11.75,7.680555,6.715275,4.194445,3.229165,0.96528,7.430555,466,0.3269545282523496,17,period_24_27,19,1.8452806479332398,0.8698589476919004,24.26996470782264,25.168624274753455,-0.40661243623676135,-0.42438069333424605,0.44424348391442553,-0.06984571104730897,-0.27978173054103606,0.11981362559845779,-0.95108956337325,0,none,65.52208237704988,0.27846171350833826,0.19245309162527408,0.10308688267675728,0.8877850745728934
