recording_uid,recording_id,file,path,batch,position,sample_code,tissue,scn_region,spinal_region,level,recording_start_datetime,recording_end_datetime,min_time_days,max_time_days,recording_duration_days,n_raw_observations,n_analysis_observations,forskolin_status,experiment_start_date,scheduled_forskolin_date,reported_restart_datetime,forskolin_interval_start_datetime,forskolin_interval_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_assignment_reason,median_sampling_interval_min,maximum_sampling_interval_min,n_sampling_gaps,n_excluded_observations
250728::7A-SCNcM1_Raw.csv,7A-SCNcM1,7A-SCNcM1_Raw.csv,data/raw/All/250728/7A-SCNcM1_Raw.csv,250728,7A,SCNcM1,SCN,caudal,,,2025-07-28 15:42:00,2025-08-11 00:05:00,0.65417,14.00347,13.3493,963,962,administered_estimated,2025-07-28 00:00:00,2025-08-04 00:00:00,2025-08-04 17:19:00,2025-08-04 17:05:00,2025-08-04 17:25:00,2025-08-04 17:15:00,7.71875,midpoint_of_actual_observations_bracketing_restart,20.0,20.0,0,1
250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,7B-SCNcM2_Raw.csv,data/raw/All/250728/7B-SCNcM2_Raw.csv,250728,7B,SCNcM2,SCN,caudal,,,2025-07-28 15:55:00,2025-08-10 23:55:00,0.66319,13.99653,13.33334,959,959,administered_estimated,2025-07-28 00:00:00,2025-08-04 00:00:00,2025-08-04 17:19:00,2025-08-04 17:15:00,2025-08-04 17:35:00,2025-08-04 17:25:00,7.725695,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,2,0
250811::1A-1FSCN_Raw.csv,1A-1FSCN,1A-1FSCN_Raw.csv,data/raw/All/250811/1A-1FSCN_Raw.csv,250811,1A,1FSCN,SCN,whole_or_unspecified,,,2025-08-11 17:10:00,2025-08-23 17:10:00,0.71528,12.71528,12.0,863,863,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::1B-2MSCN_Raw.csv,1B-2MSCN,1B-2MSCN_Raw.csv,data/raw/All/250811/1B-2MSCN_Raw.csv,250811,1B,2MSCN,SCN,whole_or_unspecified,,,2025-08-11 17:00:00,2025-08-23 17:20:00,0.70833,12.72222,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::1C-3FSCN_Raw.csv,1C-3FSCN,1C-3FSCN_Raw.csv,data/raw/All/250811/1C-3FSCN_Raw.csv,250811,1C,3FSCN,SCN,whole_or_unspecified,,,2025-08-11 17:07:00,2025-08-23 17:27:00,0.71319,12.72708,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:27:00,2025-08-18 16:47:00,2025-08-18 16:37:00,7.692365,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::1D-4FSCN_Raw.csv,1D-4FSCN,1D-4FSCN_Raw.csv,data/raw/All/250811/1D-4FSCN_Raw.csv,250811,1D,4FSCN,SCN,whole_or_unspecified,,,2025-08-11 17:02:00,2025-08-23 17:22:00,0.70972,12.72361,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:22:00,2025-08-18 16:42:00,2025-08-18 16:32:00,7.688885,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::2C-2ML1_Raw.csv,2C-2ML1,2C-2ML1_Raw.csv,data/raw/All/250811/2C-2ML1_Raw.csv,250811,2C,2ML1,DRG,,lumbar,L1,2025-08-11 17:10:00,2025-08-23 17:10:00,0.71528,12.71528,12.0,863,863,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::2D-1FL2_Raw.csv,2D-1FL2,2D-1FL2_Raw.csv,data/raw/All/250811/2D-1FL2_Raw.csv,250811,2D,1FL2,DRG,,lumbar,L2,2025-08-11 17:05:00,2025-08-23 17:25:00,0.71181,12.72569,12.01388,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:25:00,2025-08-18 16:45:00,2025-08-18 16:35:00,7.690975,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::3A-1FL4_Raw.csv,3A-1FL4,3A-1FL4_Raw.csv,data/raw/All/250811/3A-1FL4_Raw.csv,250811,3A,1FL4,DRG,,lumbar,L4,2025-08-11 16:55:00,2025-08-23 17:15:00,0.70486,12.71875,12.01389,865,865,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:15:00,2025-08-18 16:35:00,2025-08-18 16:25:00,7.684025,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,1,0
250811::3D-1FT10_Raw.csv,3D-1FT10,3D-1FT10_Raw.csv,data/raw/All/250811/3D-1FT10_Raw.csv,250811,3D,1FT10,DRG,,thoracic,T10,2025-08-11 17:07:00,2025-08-23 17:27:00,0.71319,12.72708,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:27:00,2025-08-18 16:47:00,2025-08-18 16:37:00,7.692365,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
