recording_uid,path,batch,file,recording_id,position,sample_code,tissue,scn_region,spinal_region,level,min_time_days,max_time_days,n_points,median_sampling_interval_min,n_time_gaps,n_duplicate_times,n_missing_time,n_missing_counts,min_counts,max_counts,mean_counts,median_counts,recording_duration_days,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
250811::5C-1FT7_Raw.csv,data/raw/All/250811/5C-1FT7_Raw.csv,250811,5C-1FT7_Raw.csv,5C-1FT7,5C,1FT7,DRG,,thoracic,T7,0.70625,12.72014,865,20.00159999999994,1,0,0,0,29.487,68.648,45.32780693641619,42.252,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::6A-1FL1_Raw.csv,data/raw/All/250811/6A-1FL1_Raw.csv,250811,6A-1FL1_Raw.csv,6A-1FL1,6A,1FL1,DRG,,lumbar,L1,0.70972,12.72361,864,20.00159999999994,1,0,0,0,64.793,208.047,118.03172337962963,93.3055,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::6B-2ML3_Raw.csv,data/raw/All/250811/6B-2ML3_Raw.csv,250811,6B-2ML3_Raw.csv,6B-2ML3,6B,2ML3,DRG,,lumbar,L3,0.71667,12.71667,864,20.00159999999994,1,0,0,0,81.589,207.122,142.84641550925926,129.2315,12.0,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::7C-1FT12_Raw.csv,data/raw/All/250811/7C-1FT12_Raw.csv,250811,7C-1FT12_Raw.csv,7C-1FT12,7C,1FT12,DRG,,thoracic,T12,0.70972,12.72361,864,20.00159999999994,1,0,0,0,46.34,191.703,82.48410300925926,61.996,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::7D-2MT12_Raw.csv,data/raw/All/250811/7D-2MT12_Raw.csv,250811,7D-2MT12_Raw.csv,7D-2MT12,7D,2MT12,DRG,,thoracic,T12,0.70625,12.72014,865,20.00159999999994,1,0,0,0,62.468,201.687,108.58569364161849,101.869,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::8A-1FT5_Raw.csv,data/raw/All/250811/8A-1FT5_Raw.csv,250811,8A-1FT5_Raw.csv,8A-1FT5,8A,1FT5,DRG,,thoracic,T5,0.71319,12.72708,864,20.00159999999994,1,0,0,0,53.516,93.032,78.81401504629629,78.0625,12.01389,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::8C-2ML4_Raw.csv,data/raw/All/250811/8C-2ML4_Raw.csv,250811,8C-2ML4_Raw.csv,8C-2ML4,8C,2ML4,DRG,,lumbar,L4,0.71181,12.72569,864,20.00159999999994,1,0,0,0,53.804,330.484,159.44170370370372,134.0795,12.01388,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::8D-2MT7_Raw.csv,data/raw/All/250811/8D-2MT7_Raw.csv,250811,8D-2MT7_Raw.csv,8D-2MT7,8D,2MT7,DRG,,thoracic,T7,0.70833,12.72222,864,20.00159999999994,1,0,0,0,52.908,127.251,86.35085879629631,82.481,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
251003::2A- M1SCn_Raw.csv,data/raw/All/251003/2A- M1SCn_Raw.csv,251003,2A- M1SCn_Raw.csv,2A- M1SCn,2A,M1SCn,SCN,whole_or_unspecified,,,0.70278,13.99444,956,20.00159999999994,1,0,0,0,75.188,118.922,92.36384414225942,93.27250000000001,13.29166,administered_estimated,2025-10-10 17:11:00,False,2025-10-10 17:10:00,2025-10-10 17:30:00,2025-10-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
251003::2B- 1MT7_Raw.csv,data/raw/All/251003/2B- 1MT7_Raw.csv,251003,2B- 1MT7_Raw.csv,2B- 1MT7,2B,1MT7,DRG,,thoracic,T7,0.70972,14.00139,956,20.00159999999994,1,0,0,0,67.11,108.804,102.91635774058578,103.098,13.29167,administered_estimated,2025-10-10 17:11:00,False,2025-10-10 17:00:00,2025-10-10 17:20:00,2025-10-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
