Date,Time (hr:min),time_days,counts_sec,measurement_datetime,file,path,batch,recording_id,position,sample_code,recording_uid,tissue,scn_region,spinal_region,level,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
2025-07-04,3:40,1.15278,105.902,2025-07-04 03:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,4:00,1.16667,105.221,2025-07-04 04:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,4:20,1.18056,105.389,2025-07-04 04:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,4:40,1.19444,104.877,2025-07-04 04:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,5:00,1.20833,105.126,2025-07-04 05:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,5:20,1.22222,104.531,2025-07-04 05:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,5:40,1.23611,104.543,2025-07-04 05:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,6:00,1.25,104.88,2025-07-04 06:00:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,6:20,1.26389,104.134,2025-07-04 06:20:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
2025-07-04,6:40,1.27778,103.652,2025-07-04 06:40:00,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2,1B,L1m2,250625 to 250728::1B-L1m2_Raw.csv,DRG,,lumbar,L1,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
