method,metric,analysis_role,circular,animal_id,sex,tissue,value,n_recordings_collapsed,n_anatomical_units_collapsed,recording_ids
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250728_M1,F,SCN,0.3869346733668326,2,2,6A-SCNrM1 | 7A-SCNcM1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250728_M2,F,SCN,0.06494008504058968,2,2,6B-SCNrM2 | 7B-SCNcM2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_1F,F,SCN,-0.30305373018940784,1,1,1A-1FSCN
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_2M,M,SCN,0.12840425905752895,1,1,1B-2MSCN
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_3F,F,SCN,1.4483606845415835,1,1,1C-3FSCN
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_4F,F,SCN,0.8614400674702125,1,1,1D-4FSCN
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_2M,M,DRG,0.9209684787574197,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_1F,F,DRG,-0.3807850441016285,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20251003_M1,M,SCN,-0.6941701514565821,1,1,2A- M1SCn
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20251003_M1,M,DRG,0.32224057349685964,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20251003_M2,M,SCN,-10.703798713848933,1,1,4A- M2SCN
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20251003_M3,M,SCN,-0.6803949819025163,1,1,4B-M3SCN
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250703_m2,F,DRG,2.362002204802304,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250626_M1,M,SCN,0.17723947394313197,1,1,1C-SCN
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250703_m1,F,DRG,3.0431890468534375,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250626_M1,M,DRG,2.2678656529346233,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250703_m1,F,SCN,-0.6520007970580579,1,1,6C-SCNmm1
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250703_m2,F,SCN,0.16766427216797197,2,2,7A-SCNmm2 | 7B-SCNcm2
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250728_M1,F,SCN,-0.5515473483010602,2,2,6A-SCNrM1 | 7A-SCNcM1
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250728_M2,F,SCN,-0.8274817496352895,2,2,6B-SCNrM2 | 7B-SCNcM2
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250811_1F,F,SCN,0.9353727255037327,1,1,1A-1FSCN
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250811_2M,M,SCN,0.28035915747481255,1,1,1B-2MSCN
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250811_3F,F,SCN,-0.19858983929483282,1,1,1C-3FSCN
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250811_4F,F,SCN,-0.6324457055336623,1,1,1D-4FSCN
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250811_2M,M,DRG,3.076614428101157,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20250811_1F,F,DRG,2.9460509216386384,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20251003_M1,M,SCN,-2.270424445241936,1,1,2A- M1SCn
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20251003_M1,M,DRG,-0.4117454617108041,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20251003_M2,M,SCN,0.07081073675466598,1,1,4A- M2SCN
CWT_pyBOAT,phase_shift_angle_radians,primary_circular,True,20251003_M3,M,SCN,-0.7207871256138603,1,1,4B-M3SCN
STFT,pre_amplitude_counts,descriptive,False,20250703_m2,F,DRG,2.5846183387602806,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,SCN,12.907307772857232,1,1,1C-SCN
STFT,pre_amplitude_counts,descriptive,False,20250703_m1,F,DRG,1.8670225852066087,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
STFT,pre_amplitude_counts,descriptive,False,20250626_M1,M,DRG,2.5475562118463233,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
