method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,point_estimate,ci_lower_95,ci_upper_95,n_anchors_valid,bootstrap_replicates,bootstrap_seed
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.03089919884947095,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.020263003012834648,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,primary_error,0.13366671300572452,0.06610974410573967,0.23187678524684907,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.0022120324624523846,-0.0021401561282772263,0.03219518146363143,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.6171052881916586,0.26544061692334364,0.9454143548700222,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.050958950789299795,-0.007273129090221677,0.22147240311192823,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,ratio_log_error,0.01475851565104305,0.00340907774541605,0.03523654801490815,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.0084072292700737,-5.556840692869154e-05,0.013841484327090398,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,primary_error,0.12688580592590726,0.1064466732812035,0.14685743962767717,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.005589593758461353,-0.001872888331629241,0.029741626348034345,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.5032880595438245,0.4269773717177933,0.6004213681379921,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.054925382477355844,0.010998595760093433,0.13719660623177032,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.008340630688446201,0.0059947280832567,0.0101165736669905,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.0021051364170679,0.0005043324055152,0.004927176683006242,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,primary_error,0.10350021377633278,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.010518172506938539,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.4562550438455172,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.08241910364556666,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.02521690932623805,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.015752145631686598,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,,,1,0,20260902
