method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,n_anchors_total,n_anchors_valid,median_processing_success_fraction,median_valid_fraction,median_primary_error,q25_primary_error,q75_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,q25_envelope_log_rate_absolute_error_per_day,q75_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
Hilbert,post_period_hours,1,S1_post_amplitude,post_amplitude,eligible,True,absolute_error_hours,hours,49,49,1.0,1.0,0.2072889042861874,0.14666167598514868,0.2696804914824842,0.013495565921823882,,,,,,,,,,,,0.026065255213685398,0.003003827108562949
Hilbert,post_period_hours,1,S1_post_amplitude,post_amplitude,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.07093295362601282,0.07093295362601282,0.07093295362601282,-0.0011987063485960903,,,,,,,,,,,,0.06997210033192461,-0.0007887355521816013
Hilbert,post_period_hours,2,S2_post_envelope,post_envelope,difficult,True,absolute_error_hours,hours,3,3,1.0,1.0,0.24602402541364654,0.16211540095439148,1.0783578269228098,0.0847529774484812,,,,,,,,,,,,0.027344940813092952,0.0053684832498323495
Hilbert,post_period_hours,2,S2_post_envelope,post_envelope,eligible,True,absolute_error_hours,hours,49,49,1.0,1.0,0.32121389591700833,0.12327708302668405,0.49033863682315726,0.04761229846522497,,,,,,,,,,,,0.0415420042302118,0.013380935153858598
Hilbert,post_period_hours,2,S2_post_envelope,post_envelope,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,1.5045639826324724,1.5045639826324724,1.5045639826324724,1.430403919751157,,,,,,,,,,,,0.8910833946152222,0.8234502804472397
Hilbert,post_period_hours,3,S3_linear_drift,linear_drift,difficult,True,absolute_error_hours,hours,3,3,1.0,1.0,0.16252625509030416,0.1103222250112319,0.2684261265946857,-2.0034378300337607e-05,,,,,,,,,,,,0.0228775654708997,3.9007002558821835e-06
Hilbert,post_period_hours,3,S3_linear_drift,linear_drift,eligible,True,absolute_error_hours,hours,49,49,1.0,1.0,0.20176868660908376,0.1262875077459249,0.3085256985783893,1.5562635685029136e-05,,,,,,,,,,,,0.02594698377570265,9.99823439401526e-07
Hilbert,post_period_hours,3,S3_linear_drift,linear_drift,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.07762611904954397,0.07762611904954397,0.07762611904954397,6.872830995874324e-05,,,,,,,,,,,,0.07077501811646231,-1.8076245532246127e-05
Hilbert,post_period_hours,4,S4_baseline_step,baseline_step,difficult,True,absolute_error_hours,hours,3,3,1.0,1.0,0.17620716027363237,0.12313364890173961,0.27616597126553977,0.012521073302222518,,,,,,,,,,,,0.03003295873294525,0.0009642379080748442
Hilbert,post_period_hours,4,S4_baseline_step,baseline_step,eligible,True,absolute_error_hours,hours,49,49,1.0,1.0,0.24837254964161737,0.12338148212785427,0.3392523482420273,0.019951603797823125,,,,,,,,,,,,0.029058933897589997,0.0016067993535426994
Hilbert,post_period_hours,4,S4_baseline_step,baseline_step,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.010007922880179265,0.010007922880179265,0.010007922880179265,-0.05078182701131695,,,,,,,,,,,,0.07372043270577605,0.0008847276341122506
Hilbert,post_period_hours,5,S5_acute_treatment_transient,acute_treatment_transient,difficult,True,absolute_error_hours,hours,3,3,1.0,1.0,0.1788391762155772,0.12208378870213643,0.2796844686874902,0.0019215178951768053,,,,,,,,,,,,0.0288395286215182,0.00014783328223264003
Hilbert,post_period_hours,5,S5_acute_treatment_transient,acute_treatment_transient,eligible,True,absolute_error_hours,hours,49,49,1.0,1.0,0.2541281133359501,0.11674588327691282,0.3049828825357679,0.003490673237992681,,,,,,,,,,,,0.0223678051461687,-0.0005406695330142652
Hilbert,post_period_hours,5,S5_acute_treatment_transient,acute_treatment_transient,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.1137305262568642,0.1137305262568642,0.1137305262568642,0.028052030952723683,,,,,,,,,,,,0.07699457137275756,0.00470052299953445
Hilbert,pre_amplitude_trajectory,0,S0_target_only,target_only,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,11,11,1.0,1.0,0.42888785300820653,0.25434521875420774,0.6036321603433772,0.0,0.9758003896492407,0.0,0.19283840743891345,0.0,0.009545922398555451,0.159753748317187,0.07773094531084435,0.22921401218260634,0.0,,,0.0523704895870758,0.0
Hilbert,pre_amplitude_trajectory,0,S0_target_only,target_only,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,41,41,1.0,1.0,0.1977180889340599,0.1622476618333962,0.24710006434357068,0.0,0.992153644274688,0.0,0.13383596325662578,0.0,-0.13959143847931563,0.14789684074645093,0.11263342152993322,0.18182458170485089,0.0,,,0.04651614308798925,0.0
Hilbert,pre_amplitude_trajectory,0,S0_target_only,target_only,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.260002183661168,0.260002183661168,0.260002183661168,0.0,0.9817885954104146,0.0,0.16403828967123607,0.0,-0.16242527519669264,0.16242527519669264,0.16242527519669264,0.16242527519669264,0.0,,,0.01759647338167565,0.0
Hilbert,pre_amplitude_trajectory,1,S1_pre_period,pre_period,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,11,11,1.0,1.0,0.4784475494559891,0.21773040937772017,0.7772289261471563,-0.024220415174076897,0.9623998319604835,0.002975660756930676,0.37053342345181206,0.19394405631089912,0.4544223294944582,0.4544223294944582,0.2050744226309557,0.567901324503405,0.18425174891633617,,,0.27065543150975824,0.06917317003265791
Hilbert,pre_amplitude_trajectory,1,S1_pre_period,pre_period,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,41,41,1.0,1.0,0.16441729292469331,0.12559564772511506,0.23058297554023785,-0.004346634988116244,0.9948149778390409,0.0005563212435235054,0.10972239505254144,-0.001909341536007303,-0.08354774915832038,0.10336825453676404,0.08187398012971875,0.1650308806735077,-0.004144985959209563,,,0.058589453890163554,0.0034694328541379996
Hilbert,pre_amplitude_trajectory,1,S1_pre_period,pre_period,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.3666587489277029,0.3666587489277029,0.3666587489277029,0.10483960580421045,0.9523818550571894,0.030320193158130893,0.3657321678642853,0.20848171312175562,0.32365642489160773,0.32365642489160773,0.32365642489160773,0.32365642489160773,0.1612311496949151,,,0.07782344924713219,0.06022697586545655
Hilbert,pre_amplitude_trajectory,2,S2_linear_drift,linear_drift,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,11,11,1.0,1.0,0.4288986444035615,0.25426992568386386,0.6024258053744653,-0.00014247566538311274,0.9757778022859405,1.3382104641079806e-07,0.19280192832065884,-3.64791182545926e-05,0.009989190651348623,0.15931010764340045,0.07812268194964805,0.2295683905962434,1.6303637993542175e-06,,,0.05261721565299035,5.546319126041588e-05
Hilbert,pre_amplitude_trajectory,2,S2_linear_drift,linear_drift,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,41,41,1.0,1.0,0.1976939101949992,0.16225493446744693,0.24762490397340955,-0.00015767336806439547,0.9923239635137631,-2.2004654154361702e-07,0.13369185875542114,-4.28188044762981e-05,-0.1394838954913836,0.14788638210203373,0.11261956154698374,0.18122499154691218,-4.02963305584092e-05,,,0.0465945906106878,-2.25186006205004e-05
Hilbert,pre_amplitude_trajectory,2,S2_linear_drift,linear_drift,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.2593929961813888,0.2593929961813888,0.2593929961813888,-0.0006269202316396272,0.9818288423538378,-4.6280776710205807e-05,0.16378686830028416,-0.0002139063110273426,-0.16227721299629233,0.16227721299629233,0.16227721299629233,0.16227721299629233,-0.0001535734523930854,,,0.0177394659367601,0.00014620146702204895
Hilbert,pre_period_hours,0,S0_target_only,target_only,difficult,True,absolute_error_hours,hours,10,10,1.0,1.0,0.22817121730024414,0.08764522800888752,0.24032060237100916,0.0,,,,,,,,,,,,0.24311363917147882,0.0
Hilbert,pre_period_hours,0,S0_target_only,target_only,eligible,True,absolute_error_hours,hours,42,42,1.0,1.0,0.032663394197050444,0.015632183450537074,0.05690761145518586,0.0,,,,,,,,,,,,0.021049499103401675,0.0
Hilbert,pre_period_hours,0,S0_target_only,target_only,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.21366228438719226,0.21366228438719226,0.21366228438719226,0.0,,,,,,,,,,,,0.1959594479156774,0.0
Hilbert,pre_period_hours,1,S1_pre_amplitude,pre_amplitude,difficult,True,absolute_error_hours,hours,10,10,1.0,1.0,0.24725778043679103,0.14614635253102337,0.2635698795727164,0.010968387674519242,,,,,,,,,,,,0.24203723448910242,0.0012259704412825242
Hilbert,pre_period_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,absolute_error_hours,hours,42,42,1.0,1.0,0.025207558059031854,0.0110223172505437,0.05243713626443869,-0.006584864574347371,,,,,,,,,,,,0.03251235239405315,0.008601131259488125
Hilbert,pre_period_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.2183592560203511,0.2183592560203511,0.2183592560203511,0.015388623818664016,,,,,,,,,,,,0.18999555523962475,-0.0027777057933244947
Hilbert,pre_period_hours,2,S2_pre_envelope,pre_envelope,difficult,True,absolute_error_hours,hours,10,10,1.0,1.0,0.14545824099819082,0.08209717540724837,0.2682617679647623,0.012529171946991546,,,,,,,,,,,,0.10420306642070032,0.0083620512796031
Hilbert,pre_period_hours,2,S2_pre_envelope,pre_envelope,eligible,True,absolute_error_hours,hours,42,42,1.0,1.0,0.07201327067915386,0.04036166774624972,0.12091073824886633,0.03716461692588702,,,,,,,,,,,,0.054889054688321046,0.0213797381175186
Hilbert,pre_period_hours,2,S2_pre_envelope,pre_envelope,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.3098418360173216,0.3098418360173216,0.3098418360173216,0.09936383914295988,,,,,,,,,,,,0.0329175127693459,-0.13698455390172615
Hilbert,pre_period_hours,3,S3_linear_drift,linear_drift,difficult,True,absolute_error_hours,hours,10,10,1.0,1.0,0.22846878574883345,0.08783705063384284,0.24038731599368202,-1.5830525880389246e-05,,,,,,,,,,,,0.2430197701718843,4.05676589555759e-06
Hilbert,pre_period_hours,3,S3_linear_drift,linear_drift,eligible,True,absolute_error_hours,hours,42,42,1.0,1.0,0.03253363245781404,0.015191484090952834,0.05549729787713309,3.5092569152794795e-06,,,,,,,,,,,,0.021053000432524227,3.754166532923646e-06
Hilbert,pre_period_hours,3,S3_linear_drift,linear_drift,ineligible,True,absolute_error_hours,hours,1,1,1.0,1.0,0.21420856320672854,0.21420856320672854,0.21420856320672854,0.00023366991375972646,,,,,,,,,,,,0.1959577365106148,-3.151939617890287e-05
STFT,post_amplitude_trajectory,0,S0_target_only,target_only,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,1.0,1.0,0.4653715812775822,0.17903181077316604,0.637175872696329,0.0,0.9994497945625778,0.0,0.041713222082835545,0.0,0.011017956121210037,0.011017956121210037,0.0029479849803762115,0.019795801915571704,0.0,,,0.30299203619275633,0.0
STFT,post_amplitude_trajectory,0,S0_target_only,target_only,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,1.0,1.0,0.050580665249367496,0.03688132122595472,0.06756544832116823,0.0,0.9999550143376295,0.0,0.0058212833046787,0.0,0.0029394114700619367,0.0037572123053441486,0.0017938442974741176,0.006481171801920559,0.0,,,0.02852559713420395,0.0
STFT,post_amplitude_trajectory,0,S0_target_only,target_only,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.4924381182115903,0.4924381182115903,0.4924381182115903,0.0,0.9993225716348502,0.0,0.052913002496970604,0.0,0.01844839633963702,0.01844839633963702,0.01844839633963702,0.01844839633963702,0.0,,,0.31927219052171263,0.0
STFT,post_amplitude_trajectory,1,S1_post_period,post_period,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,1.0,1.0,0.10218119674479732,0.06064632609274832,0.5514051071507997,-0.08825296042680811,0.9992486368194915,0.0003312166006003703,0.04767643869377825,0.00759251841166555,-0.004501973287778294,0.008757919883319754,0.0036807882019976867,0.018156215403179063,0.00017564069130235338,,,0.058265116165143176,0.010246519223178175
STFT,post_amplitude_trajectory,1,S1_post_period,post_period,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,1.0,1.0,0.026278334756377975,0.014142110689920401,0.0500269791242818,-0.023866292227795877,0.9999341622427675,1.6846601570918995e-05,0.0051454647110735,-3.648377904737497e-05,-0.0004043844303463634,0.0017499097729206936,0.0007244171634206778,0.0038027984627643507,-0.0013487749812857164,,,0.03581870635084755,0.0005484378998305266
STFT,post_amplitude_trajectory,1,S1_post_period,post_period,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.16201688114787455,0.16201688114787455,0.16201688114787455,-0.31182558494037904,0.9974557481058695,0.001860008693290005,0.10255108372703056,0.048027126001349604,-0.027804629411637194,0.027804629411637194,0.027804629411637194,0.027804629411637194,0.007868175335119076,,,0.222950618580174,-0.09269255855301184
STFT,post_amplitude_trajectory,2,S2_linear_drift,linear_drift,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,1.0,1.0,0.46494635530613776,0.17877387905389908,0.6377441877562042,2.4088619800261696e-06,0.9994322114781242,1.9154536982923798e-06,0.04218582746208613,2.8600341407550062e-05,0.028505533883496942,0.0356783849200524,0.016040893458221267,0.04595338013784325,0.003325667967613341,,,0.30324304872185487,2.092748504155771e-07
STFT,post_amplitude_trajectory,2,S2_linear_drift,linear_drift,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,1.0,1.0,0.05038069066346433,0.03690706280554139,0.06712071654390572,4.73775525515821e-05,0.9999364530540558,4.0174076358368005e-06,0.006451199150572475,0.0001673575505922,0.0033004976226609153,0.004435545555218378,0.0024875992489132234,0.006509031731097424,0.0001808923364682441,,,0.028561410758568224,0.0
STFT,post_amplitude_trajectory,2,S2_linear_drift,linear_drift,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,1,1,1.0,1.0,0.4935481419246851,0.4935481419246851,0.4935481419246851,0.0012933128057260324,0.9993723140085192,-5.03682673836936e-05,0.0585946524313631,0.00498859522178275,0.163171772534758,0.163171772534758,0.163171772534758,0.163171772534758,0.14488387070246145,,,0.3192854897382553,2.6056055804440925e-05
STFT,post_amplitude_trajectory,3,S3_baseline_step,baseline_step,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,1.0,1.0,0.47658235926072556,0.16529907067091237,0.6137290791617444,0.00211779419019565,0.9995740017925403,0.00020025306761708994,0.03755838460041212,0.006454215349115774,0.011666434552410232,0.011666434552410232,0.006002678207437141,0.017201949723460702,0.005055032028425194,,,0.3045517048007086,0.00016323659335951406
STFT,post_amplitude_trajectory,3,S3_baseline_step,baseline_step,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,42,42,1.0,1.0,0.05594105075261468,0.04365694460320602,0.08204089289934441,0.0041011757355345485,0.9989017842802497,0.0010501035946460235,0.0188882894963653,0.013179889923449125,0.003995997786628923,0.007502493561416426,0.004312233088170497,0.012500137970917292,0.004505170792637556,,,0.028846631153331324,6.464111967600418e-06
