method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,tissue,anchor_recording_uid,anchor_recording_id,method_applicable,primary_metric_name,primary_metric_unit,n_variants,processing_success_fraction,valid_fraction,median_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.25359146828656054,0.07557008942677634,,,,,,,,0.9686480568897053,0.28865647877203277,0.0044305944572367,-0.0029091183004855995
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1473755648466777,0.010973667456678271,,,,,,,,0.5629331912714141,0.041916322069848355,0.0005727897723864499,-0.0009311074927676501
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.032582053753045015,0.006393864508762448,,,,,,,,0.1244542778611909,0.024422763408705042,0.00850941202019775,0.00806843870124745
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.16141518548153244,0.000873447444462272,,,,,,,,0.6165605918275446,0.003336323479611672,0.0108902092125383,0.009400552854617699
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.12334811612083696,0.0016849257587170374,,,,,,,,0.4711550976409033,0.006435942317824267,0.0093359966345944,0.0012816142935683002
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::5B-T12m2_Raw.csv,5B-T12m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.08371725928220775,0.016816435395828222,,,,,,,,0.3197763752848613,0.06423405164235779,0.01302299633537485,0.012354989071067551
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::5D-T10_Raw.csv,5D-T10,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.20484949147543396,0.02983542053969046,,,,,,,,0.7824674197962334,0.11396291179481277,0.0038205863770266,-0.0021742326515953496
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::6A-T7_Raw.csv,6A-T7,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.0948127579520468,0.00844898622461443,,,,,,,,0.3621580583098477,0.03227275012230518,0.005846168712515349,-0.0018815999951856002
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::6B-T5_Raw.csv,6B-T5,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.17762896172428322,0.05460624481840881,,,,,,,,0.6784926550728181,0.208580490876863,0.0046870803861963,0.00378510521135725
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,DRG,250625 to 250728::7C-L1_Raw.csv,7C-L1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.146564343779634,0.008334965943863404,,,,,,,,0.5598345550451673,0.031837224731243174,0.00172218709129305,-0.00256397235844695
