scenario_number,scenario_id,profile_type,direction,duration_hours,method,metric,primary_metric,n_anchors_total,n_anchors_valid,median,ci95_low,ci95_high,bootstrap_repeats
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,absolute_timing_error_hours,False,53,53,1.6382854089435739,1.6150090730656643,1.6385254089435364,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,primary_rmse_hours,True,53,53,0.39314026334933583,0.3917793411797705,0.39409706380800363,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,full_trajectory_rmse_hours,False,53,53,0.4551010496091775,0.44087060476924916,0.4729003703743472,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,primary_bias_hours,False,53,53,-0.026786194923307756,-0.07066426742457388,-0.021706910046691723,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,primary_pearson,False,53,53,0.9648616927668046,0.9603209776585913,0.9653353859403834,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,dynamic_range_ratio,False,53,53,1.0705334099125707,1.067377509316188,1.2018772489296705,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,timing_error_hours,False,53,53,-1.5509664837411492,-1.6132141152840518,-0.11211303548390106,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,absolute_timing_error_hours,False,53,53,1.5509664837411492,0.8043919479773365,1.6132141152840518,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,primary_rmse_hours,True,53,53,0.2892805044828594,0.2846915487006342,0.295135935839438,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,full_trajectory_rmse_hours,False,53,53,0.1923031284650542,0.18241847627147847,0.19451892427331163,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,primary_bias_hours,False,53,53,-0.02780500788812062,-0.033109036698728236,-0.022018620833093343,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,primary_pearson,False,53,53,0.9839882798831477,0.9832903893519493,0.9846917442488942,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,dynamic_range_ratio,False,53,53,0.9826960563802665,0.9826960563802665,0.9826960563802665,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,timing_error_hours,False,53,53,-1.3898484375000066,-1.4291171484375127,-1.3896084374999873,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,absolute_timing_error_hours,False,53,53,1.3898484375000066,1.3896084374999873,1.4291171484375127,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.7922292367325675,0.7918469653994911,0.7934625202065073,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.4560007048208071,0.4551357852738686,0.48287446372723686,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.0024297310730203897,-0.0034839532327699224,-0.0019026199931457505,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,primary_pearson,False,53,53,0.6259391252889202,0.6224338302159155,0.6322526616546426,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,dynamic_range_ratio,False,53,53,0.16612331052223417,0.16485941409825197,0.16645522522857165,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,timing_error_hours,False,53,53,1.2166799999999967,0.5000400000000127,1.912547412587685,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,absolute_timing_error_hours,False,53,53,1.4780754098359807,0.8833199999997703,1.912547412587685,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,within_1h_fraction,False,53,53,0.8571428571428571,0.8571428571428571,0.8571428571428571,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,primary_rmse_hours,True,53,53,0.7351602273200771,0.706433166881009,0.7423326290669964,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,full_trajectory_rmse_hours,False,53,53,0.4963009417465766,0.4837490304861424,0.5055677136248559,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,primary_bias_hours,False,53,53,-0.10104620968678901,-0.10348191470233736,-0.07024435314387542,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,primary_pearson,False,53,53,0.6222769451405692,0.6130511245373153,0.6260826706007566,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,dynamic_range_ratio,False,53,53,0.36402880758907663,0.33759933954102644,0.3952971772322599,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,timing_error_hours,False,53,53,3.7988343693686772,3.1225172079651884,4.221174054022242,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,absolute_timing_error_hours,False,53,53,3.7988343693686772,3.1225172079651884,4.221174054022242,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,within_1h_fraction,False,53,53,0.9285714285714286,0.9285714285714286,0.9285714285714286,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,primary_rmse_hours,True,53,53,0.6056589360528907,0.6056586562830512,0.6056589360528907,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,full_trajectory_rmse_hours,False,53,53,0.3681061060953996,0.3620009518858546,0.36865946614624623,2000
7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,primary_bias_hours,False,53,53,-0.04984807625922448,-0.04984807625922448,-0.04984807625922448,2000
